Date,Open,High,Low,Close,Adj Close,Volume
21/12/2018,406.893768,414.336945,404.41272,411.855896,349.607544,1627933
24/12/2018,411.855896,411.855896,411.855896,411.855896,349.607544,0
25/12/2018,411.855896,411.855896,411.855896,411.855896,349.607544,0
26/12/2018,411.855896,419.299072,401.931641,416.818024,353.819672,2108171
27/12/2018,416.818024,421.780121,416.818024,416.818024,353.819672,1497344
28/12/2018,419.299072,421.780121,401.931641,416.818024,353.819672,6626604
31/12/2018,416.818024,416.818024,416.818024,416.818024,353.819672,0
01/01/2019,416.818024,416.818024,416.818024,416.818024,353.819672,0
02/01/2019,416.818024,421.780121,414.336945,419.299072,355.925751,1399200
03/01/2019,419.299072,426.742249,414.336945,426.742249,362.243958,2810694
04/01/2019,421.780121,426.742249,419.299072,424.2612,360.137878,546137
07/01/2019,424.2612,429.223297,424.2612,424.2612,360.137878,2182333
08/01/2019,424.2612,426.742249,419.299072,421.780121,358.031799,596922
09/01/2019,421.780121,424.2612,416.818024,421.780121,358.031799,811951
10/01/2019,421.780121,421.780121,416.818024,421.780121,358.031799,3540221
11/01/2019,421.780121,424.2612,419.299072,424.2612,360.137878,1308513
14/01/2019,424.2612,424.2612,419.299072,421.780121,358.031799,431468
15/01/2019,421.780121,421.780121,414.336945,414.336945,351.713562,1003804
16/01/2019,416.818024,426.742249,414.336945,421.780121,358.031799,4628264
17/01/2019,421.780121,426.742249,406.893768,409.374817,347.501434,3719378
18/01/2019,414.336945,416.818024,404.41272,404.41272,343.289337,20961608
21/01/2019,406.893768,409.374817,401.931641,401.931641,341.183228,6977865
22/01/2019,401.931641,406.893768,399.450592,401.931641,341.183228,11662960
23/01/2019,404.41272,411.855896,372.158936,372.158936,315.9104,15449649
24/01/2019,396.969543,409.374817,384.56424,404.41272,343.289337,17455243
25/01/2019,406.893768,409.374817,404.41272,406.893768,345.395386,6541358
28/01/2019,409.374817,409.374817,406.893768,406.893768,345.395386,6175788
29/01/2019,406.893768,409.374817,401.931641,406.893768,345.395386,1656550
30/01/2019,406.893768,409.374817,404.41272,406.893768,345.395386,16187237
31/01/2019,406.893768,409.374817,404.41272,406.893768,345.395386,9124327
01/02/2019,406.893768,411.855896,404.41272,406.893768,345.395386,17682566
04/02/2019,406.893768,409.374817,401.931641,401.931641,341.183228,21979721
05/02/2019,401.931641,401.931641,401.931641,401.931641,341.183228,0
06/02/2019,399.450592,414.336945,399.450592,411.855896,349.607544,5840851
07/02/2019,411.855896,416.818024,409.374817,409.374817,347.501434,3303024
08/02/2019,409.374817,414.336945,404.41272,409.374817,347.501434,9601341
11/02/2019,409.374817,414.336945,406.893768,409.374817,347.501434,17597723
12/02/2019,414.336945,414.336945,406.893768,411.855896,349.607544,8606403
13/02/2019,411.855896,411.855896,399.450592,401.931641,341.183228,11346563
14/02/2019,411.855896,411.855896,401.931641,401.931641,341.183228,4580301
15/02/2019,401.931641,404.41272,396.969543,396.969543,336.9711,4637937
18/02/2019,399.450592,411.855896,399.450592,411.855896,349.607544,3198431
19/02/2019,411.855896,429.223297,411.855896,426.742249,362.243958,13790680
20/02/2019,429.223297,458.996033,426.742249,456.514954,387.516785,35570890
21/02/2019,456.514954,491.249786,456.514954,491.249786,417.00174,47712276
22/02/2019,491.249786,496.211914,461.477081,491.249786,417.00174,12852371
25/02/2019,493.730865,506.136169,478.844513,506.136169,429.638123,26175106
26/02/2019,506.136169,513.579346,491.249786,513.579346,435.95636,7686635
27/02/2019,513.579346,513.579346,501.174042,503.65509,427.532074,3815103
28/02/2019,503.65509,513.579346,491.249786,513.579346,435.95636,12976310
01/03/2019,513.579346,528.465698,508.617218,523.503601,444.380646,9189219
04/03/2019,523.503601,530.946777,498.692963,501.174042,425.425995,8729133
05/03/2019,503.65509,508.617218,478.844513,503.65509,427.532074,5357388
06/03/2019,503.65509,503.65509,493.730865,496.211914,421.213867,12047876
07/03/2019,496.211914,496.211914,496.211914,496.211914,421.213867,0
08/03/2019,496.211914,508.617218,493.730865,503.65509,427.532074,4951916
11/03/2019,503.65509,508.617218,493.730865,498.692963,423.319916,2229894
12/03/2019,506.136169,508.617218,496.211914,506.136169,429.638123,1807493
13/03/2019,498.692963,506.136169,498.692963,501.174042,425.425995,3385247
14/03/2019,498.692963,506.136169,496.211914,501.174042,425.425995,6035324
15/03/2019,501.174042,506.136169,496.211914,506.136169,429.638123,7803520
18/03/2019,498.692963,506.136169,496.211914,501.174042,425.425995,2738547
19/03/2019,506.136169,521.022522,501.174042,506.136169,429.638123,2438272
20/03/2019,501.174042,508.617218,496.211914,503.65509,427.532074,2772202
21/03/2019,503.65509,506.136169,498.692963,506.136169,429.638123,1875005
22/03/2019,501.174042,503.65509,498.692963,498.692963,423.319916,1061643
25/03/2019,501.174042,501.174042,486.287689,496.211914,421.213867,2928990
26/03/2019,496.211914,501.174042,493.730865,496.211914,421.213867,7299300
27/03/2019,501.174042,506.136169,496.211914,501.174042,425.425995,2671237
28/03/2019,501.174042,501.174042,493.730865,498.692963,423.319916,1144269
29/03/2019,496.211914,501.174042,493.730865,501.174042,425.425995,1981411
01/04/2019,493.730865,501.174042,493.730865,498.692963,423.319916,921783
02/04/2019,496.211914,501.174042,493.730865,496.211914,421.213867,4289296
03/04/2019,496.211914,496.211914,496.211914,496.211914,421.213867,0
04/04/2019,496.211914,498.692963,491.249786,493.730865,419.107819,7317035
05/04/2019,496.211914,501.174042,493.730865,498.692963,423.319916,3768954
08/04/2019,498.692963,501.174042,496.211914,498.692963,423.319916,1653325
09/04/2019,498.692963,501.174042,493.730865,498.692963,423.319916,3816313
10/04/2019,506.136169,506.136169,498.692963,503.65509,427.532074,2142229
11/04/2019,503.65509,521.022522,498.692963,506.136169,429.638123,4733864
12/04/2019,506.136169,511.098267,498.692963,508.617218,431.744202,1696452
15/04/2019,506.136169,506.136169,496.211914,501.174042,425.425995,6178610
16/04/2019,501.174042,503.65509,498.692963,501.174042,425.425995,1303676
17/04/2019,501.174042,501.174042,501.174042,501.174042,425.425995,0
18/04/2019,501.174042,506.136169,496.211914,503.65509,446.229767,4268337
19/04/2019,503.65509,503.65509,503.65509,503.65509,446.229767,0
22/04/2019,503.65509,503.65509,486.287689,493.730865,446.678741,6378524
23/04/2019,493.730865,498.692963,493.730865,493.730865,446.678741,1103762
24/04/2019,493.730865,493.730865,481.325562,481.325562,435.455688,5667135
25/04/2019,481.325562,503.65509,478.844513,498.692963,451.167999,10428810
26/04/2019,498.692963,501.174042,491.249786,491.249786,444.434143,10052761
29/04/2019,493.730865,498.692963,493.730865,496.211914,448.92334,5128655
30/04/2019,496.211914,506.136169,496.211914,506.136169,457.901825,11812291
01/05/2019,506.136169,506.136169,506.136169,506.136169,457.901825,0
02/05/2019,506.136169,506.136169,491.249786,496.211914,448.92334,3212941
03/05/2019,496.211914,496.211914,468.920258,488.768738,442.189514,17226309
06/05/2019,488.768738,491.249786,473.882385,488.768738,442.189514,6065755
07/05/2019,488.768738,491.249786,481.325562,483.80661,437.700317,2473338
08/05/2019,483.80661,491.249786,471.401337,486.287689,439.944916,8174128
09/05/2019,486.287689,491.249786,478.844513,491.249786,444.434143,7181407
10/05/2019,491.249786,491.249786,478.844513,483.80661,437.700317,9442941
13/05/2019,483.80661,488.768738,478.844513,483.80661,437.700317,7252748
14/05/2019,483.80661,483.80661,471.401337,476.363434,430.966431,11563607
15/05/2019,476.363434,476.363434,451.552856,463.95813,419.743317,9138434
16/05/2019,463.95813,471.401337,456.514954,471.401337,426.477234,3171830
17/05/2019,471.401337,476.363434,458.996033,468.920258,424.232605,1437490
20/05/2019,468.920258,471.401337,466.439209,471.401337,426.477234,371816
21/05/2019,471.401337,476.363434,449.071777,458.996033,415.25415,1549741
22/05/2019,466.439209,466.439209,456.514954,458.996033,415.25415,1031011
23/05/2019,458.996033,468.920258,449.071777,456.514954,413.00946,3378596
24/05/2019,454.033905,468.920258,454.033905,461.477081,417.498718,6394848
27/05/2019,466.439209,466.439209,446.590729,463.95813,419.743317,5451904
28/05/2019,463.95813,473.882385,458.996033,466.439209,421.987976,12733470
